Take Out the Gunman	Chevelle	RATED (mk4) 0873 <97> <= [100,84,81]
Man Changing the Atoms	Carpet	RATED (mk4) 0873 <97> <= [100,84,81]
Everybody Hurts	R.E.M.	RATED (mk4) 0873 <97> <= [100,84,81]
Collective Soul - Shine	Collective Soul	RATED (mk4) 0873 <97> <= [100,81,83]
Eulogy	Tool	RATED (mk4) 0872 <97> <= [100,96,92,78,83]
You Wish	Oceansize	RATED (mk4) 0872 <97> <= [80,92]
Walk The Fleet Road	Editors	RATED (mk4) 0871 <96> <= [100,79,84]
Merkaba (live)                	Tool	RATED (mk4) 0871 <96> <= [80,90,90]
Let Me In	Beatsteaks	RATED (mk4) 0870 <96> <= [100,86,79]
Yesterday's Blowin' Back	Dead Meadow	RATED (mk4) 0870 <96> <= [87]
Splinters	Sparta	RATED (mk4) 0870 <96> <= [87]
Sing for Absolution	Muse	RATED (mk4) 0870 <96> <= [87]
An Ode to Death	Birds of Tokyo	RATED (mk4) 0870 <96> <= [87]
I Could Have Lied	Red Hot Chili Peppers	RATED (mk4) 0870 <96> <= [87]
The Start of Something Beautiful (Album Version)	Porcupine Tree	RATED (mk4) 0870 <96> <= [80,88,82,92]
Imagine	A Perfect Circle	RATED (mk4) 0869 <96> <= [100,78,84]
Welcome Change	Long Distance Calling	RATED (mk4) 0868 <96> <= [100,78]
Stranger	Black Map	RATED (mk4) 0868 <96> <= [100,78]
P.S. F**k You	The Anchoress	RATED (mk4) 0868 <96> <= [100,78]
Mountains (Live At Wembley)	Biffy Clyro	RATED (mk4) 0868 <96> <= [100,78]
The Misery Index	Boysetsfire	RATED (mk4) 0868 <96> <= [100,78]
Jerry Fuchs	Right Hand Left Hand	RATED (mk4) 0868 <96> <= [100,78]
It Only Took A Day (Album Version)	Dredg	RATED (mk4) 0868 <96> <= [100,78]
Song 2	Blur	RATED (mk4) 0867 <96> <= [100,85,79]
Octavia	Black Map	RATED (mk4) 0867 <96> <= [81,86,91]
Blackspots	65daysofstatic	RATED (mk4) 0867 <96> <= [80,87,91]
Hey, Johnny Park!	Foo Fighters	RATED (mk4) 0866 <96> <= [100,83,80]
Down In A Hole	Alice In Chains	RATED (mk4) 0864 <96> <= [100,84,79]
The Best	...And You Will Know Us By The Trail Of Dead	RATED (mk4) 0864 <96> <= [100,84,79]
